"start_station_latitude","start_station_longitude","start_position","Weight"
"40.7258483","-73.95064893","40.7258483,-73.95064893","2891"
"40.72779126","-73.98564945","40.72779126,-73.98564945","33542"
"40.72903917","-73.99404649","40.72903917,-73.99404649","37202"
"40.73555","-73.95284","40.73555,-73.95284","3049"
"40.7361967","-74.00859207","40.7361967,-74.00859207","24037"
"40.73912601","-73.97973776","40.73912601,-73.97973776","43400"
"40.74195138","-74.00803013","40.74195138,-74.00803013","30654"
"40.74394314","-73.97966069","40.74394314,-73.97966069","36180"
"40.744219","-73.97121214","40.744219,-73.97121214","30839"
"40.749156","-73.9916","40.749156,-73.9916","56775"
"40.751593684511114","-73.98043155670166","40.751593684511114,-73.98043155670166","6860"
"40.75206862","-73.96784384","40.75206862,-73.96784384","13381"
"40.75527307","-73.98316936","40.75527307,-73.98316936","24346"
"40.75640548","-73.9900262","40.75640548,-73.9900262","64620"
"40.7575699","-73.99098507","40.7575699,-73.99098507","60495"
"40.75849116","-73.95920622","40.75849116,-73.95920622","6323"
"40.761628","-73.972924","40.761628,-73.972924","21412"
"40.76500525","-73.95818491","40.76500525,-73.95818491","18191"
"40.7652654","-73.98192338","40.7652654,-73.98192338","36269"
"40.76817546742245","-73.95910263061523","40.76817546742245,-73.95910263061523","427"
"40.77391390238118","-73.9543953537941","40.77391390238118,-73.9543953537941","473"
"40.77492513","-73.98266566","40.77492513,-73.98266566","10143"
"40.77575319","-73.97603963","40.77575319,-73.97603963","4904"
"40.7785669","-73.97754961","40.7785669,-73.97754961","5996"
"40.77896784","-73.97374737","40.77896784,-73.97374737","6971"
"40.68098339","-73.95004798","40.68098339,-73.95004798","928"
"40.68488","-73.96304","40.68488,-73.96304","1224"
"40.6851443","-73.95380904","40.6851443,-73.95380904","5510"
"40.686203","-73.944694","40.686203,-73.944694","13"
"40.68683208","-73.9796772","40.68683208,-73.9796772","4683"
"40.68940747","-73.96885458","40.68940747,-73.96885458","9039"
"40.693261","-73.968896","40.693261,-73.968896","13776"
"40.69512845","-73.99595065","40.69512845,-73.99595065","10503"
"40.69760127","-73.99344559","40.69760127,-73.99344559","15905"
"40.70255065","-74.0127234","40.70255065,-74.0127234","14558"
"40.7037992","-74.00838676","40.7037992,-74.00838676","14166"
"40.70538077","-73.94976519","40.70538077,-73.94976519","1471"
"40.70862144","-74.00722156","40.70862144,-74.00722156","17480"
"40.711512","-74.015756","40.711512,-74.015756","49301"
"40.714215","-73.981346","40.714215,-73.981346","18300"
"40.71605866","-73.99190759","40.71605866,-73.99190759","32610"
"40.716887","-73.963198","40.716887,-73.963198","19220"
"40.71748752","-74.0104554","40.71748752,-74.0104554","18375"
"40.71764","-73.94882","40.71764,-73.94882","1731"
"40.71921585","-73.9424469","40.71921585,-73.9424469","3035"
"40.72043411","-74.01020609","40.72043411,-74.01020609","36330"
"40.72153267","-73.95782357","40.72153267,-73.95782357","3945"
"40.7218158","-73.99720307","40.7218158,-73.99720307","51460"
"40.72557","-73.94434","40.72557,-73.94434","5168"
"40.72740794","-73.98142006","40.72740794,-73.98142006","47014"
"40.73047309","-73.98672378","40.73047309,-73.98672378","42528"
"40.73049393","-73.9957214","40.73049393,-73.9957214","27864"
"40.73165141","-73.96161892","40.73165141,-73.96161892","1198"
"40.735238","-74.000271","40.735238,-74.000271","34237"
"40.73535398","-74.00483091","40.73535398,-74.00483091","23931"
"40.74025878","-73.98409214","40.74025878,-73.98409214","59505"
"40.7405826","-74.00550867","40.7405826,-74.00550867","25199"
"40.74206539","-74.00443172","40.74206539,-74.00443172","44824"
"40.74238787","-73.99726235","40.74238787,-73.99726235","41512"
"40.744363287066875","-73.9558732509613","40.744363287066875,-73.9558732509613","855"
"40.74469738","-73.93540375","40.74469738,-73.93540375","871"
"40.7457121","-73.98194829","40.7457121,-73.98194829","48955"
"40.74691959","-74.00451887","40.74691959,-74.00451887","51292"
"40.74731","-73.95451","40.74731,-73.95451","5189"
"40.74765947","-73.98490707","40.74765947,-73.98490707","36644"
"40.751396","-74.005226","40.751396,-74.005226","44986"
"40.751873","-73.977706","40.751873,-73.977706","104813"
"40.75320159","-73.9779874","40.75320159,-73.9779874","40861"
"40.759107","-73.959223","40.759107,-73.959223","9799"
"40.75934501","-73.96759673","40.75934501,-73.96759673","9156"
"40.75968085","-73.97031366","40.75968085,-73.97031366","15987"
"40.7597108","-73.97402311","40.7597108,-73.97402311","19264"
"40.76019252","-73.9912551","40.76019252,-73.9912551","40561"
"40.76020258","-73.96478473","40.76020258,-73.96478473","21146"
"40.76461837","-73.98789473","40.76461837,-73.98789473","25128"
"40.76695317","-73.98169333","40.76695317,-73.98169333","46566"
"40.76735637","-73.96493528","40.76735637,-73.96493528","60"
"40.768254","-73.988639","40.768254,-73.988639","23573"
"40.77282817","-73.96685276","40.77282817,-73.96685276","8173"
"40.7728384","-73.94989233","40.7728384,-73.94989233","1904"
"40.774405455003","-73.96175265312193","40.774405455003,-73.96175265312193","274"
"40.77565541","-73.95068615","40.77565541,-73.95068615","5340"
"40.77573034","-73.9567526","40.77573034,-73.9567526","4184"
"40.77748046","-73.98288594","40.77748046,-73.98288594","9253"
"40.77862688","-73.95772073","40.77862688,-73.95772073","9848"
"40.78275","-73.97137","40.78275,-73.97137","3781"
"40.646768","-74.01651","40.646768,-74.01651","15"
"40.67890679","-73.94142771","40.67890679,-73.94142771","712"
"40.680342423","-73.9557689392","40.680342423,-73.9557689392","5267"
"40.68223166","-73.9614583","40.68223166,-73.9614583","7002"
"40.682601","-73.938037","40.682601,-73.938037","772"
"40.683048","-73.964915","40.683048,-73.964915","4645"
"40.68402","-73.94977","40.68402,-73.94977","855"
"40.685159599891776","-73.97711366415024","40.685159599891776,-73.97711366415024","6755"
"40.68650065","-73.96563307","40.68650065,-73.96563307","5438"
"40.68676793","-73.95928168","40.68676793,-73.95928168","4908"
"40.69072549","-73.95133465","40.69072549,-73.95133465","872"
"40.69221589","-73.9842844","40.69221589,-73.9842844","7518"
"40.69308257","-73.97178913","40.69308257,-73.97178913","11627"
"40.69363137","-73.96223558","40.69363137,-73.96223558","6431"
"40.69573398","-73.97129668","40.69573398,-73.97129668","4691"
"40.69991755","-73.98971773","40.69991755,-73.98971773","10481"
"40.70029511","-73.95032283","40.70029511,-73.95032283","864"
"40.7047177","-74.00926027","40.7047177,-74.00926027","20999"
"40.70510918","-73.94407279","40.70510918,-73.94407279","864"
"40.70827295","-73.96834101","40.70827295,-73.96834101","8964"
"40.70877084","-73.95095259","40.70877084,-73.95095259","2169"
"40.71044554","-73.96525063","40.71044554,-73.96525063","9747"
"40.711863","-73.944024","40.711863,-73.944024","1983"
"40.71219906","-73.97948148","40.71219906,-73.97948148","13422"
"40.71473993","-74.00910627","40.71473993,-74.00910627","19142"
"40.71739973","-73.98016555","40.71739973,-73.98016555","14482"
"40.71911552","-74.00666661","40.71911552,-74.00666661","22808"
"40.71928","-73.94861","40.71928,-73.94861","2008"
"40.72082834","-73.97793172","40.72082834,-73.97793172","14556"
"40.72179134","-73.9504154","40.72179134,-73.9504154","3346"
"40.722055","-73.989111","40.722055,-73.989111","38761"
"40.72405549","-74.00965965","40.72405549,-74.00965965","27671"
"40.72580614","-73.97422494","40.72580614,-73.97422494","6672"
"40.7262807","-73.98978041","40.7262807,-73.98978041","35818"
"40.72708584","-73.95299117","40.72708584,-73.95299117","3877"
"40.72906","-73.95779","40.72906,-73.95779","5330"
"40.72955361","-73.98057249","40.72955361,-73.98057249","36304"
"40.73026","-73.95394","40.73026,-73.95394","4171"
"40.73047747","-73.99906065","40.73047747,-73.99906065","35617"
"40.73221853","-73.98165557","40.73221853,-73.98165557","51911"
